,_id,document_type,news_desk,pub_date,snippet,source,subsection_name,web_url
0,5c8b5f8940d36ff0709c6b53,article,BookReview,2019-02-05T10:00:07+0000,"In “A Bright Future,” Joshua S. Goldstein and Staffan A. Qvist look to Europe for examples of how nuclear energy can help solve the global warming crisis.",The New York Times,Book Review,https://www.nytimes.com/2019/02/05/books/review/bright-future-joshua-s-goldstein-staffan-a-qvist.html
1,5c8ae4f440d36ff070805619,multimedia,Climate,2019-02-05T10:00:01+0000,Lakes that used to freeze every winter now see some years without ice. Scientists say that extensive ice loss will happen within a generation if current warming trends continue.,The New York Times,,https://www.nytimes.com/interactive/2019/02/05/climate/melting-lake-ice-global-warming.html
2,5c8ae43940d36ff070803297,article,Climate,2019-01-30T19:59:47+0000,Also this week: A good reason to call your cable company.,The New York Times,,https://www.nytimes.com/2019/01/30/climate/climate-fwd-cold-weather-dvr.html
3,5c95319240d36ff0709ca01e,article,Climate,2019-03-22T19:03:46+0000,"Floods are complicated. But here are simple answers to questions about flooding, climate change and staying safe when the water rises.",The New York Times,,https://www.nytimes.com/2019/03/22/climate/what-causes-floods.html
4,5c8b5faf40d36ff0709c6c10,article,Letters,2019-03-05T19:08:54+0000,Readers discuss an essay that called for “alarmism and catastrophic thinking.”,The New York Times,Letters,https://www.nytimes.com/2019/03/05/opinion/letters/climate-change-alarmism.html
5,5c9429f540d36ff0709c9a7c,article,None,2019-03-22T00:19:01+0000,"Climate change played a hand in the deadly floods in the U.S. upper Midwest that have damaged crops and drowned livestock, scientists said on Thursday, while a Trump administration official said more homework was needed before making that link.",Reuters,,https://www.nytimes.com/reuters/2019/03/21/us/21reuters-usa-weather-climatechange.html
6,5c94afa440d36ff0709c9cfa,article,None,2019-03-22T09:49:24+0000,"Climate change played a hand in the deadly floods in the U.S. upper Midwest that have damaged crops and drowned livestock, scientists said on Thursday, while a Trump administration official said more homework was needed before making that link.",Reuters,,https://www.nytimes.com/reuters/2019/03/22/us/22reuters-usa-weather-climatechange.html
7,5c9c2b8340d36ff0709d0131,article,None,2019-03-27T09:09:53+0000,"Long before Cyclone Idai roared in and tore apart Mozambique's seaside city of Beira, the mayor dreamed of protecting his people from climate change.",AP,Africa,https://www.nytimes.com/aponline/2019/03/27/world/africa/ap-af-mozambique-cyclone-battling-climate-change.html
8,5c8b6b7b40d36ff0709c7210,article,Climate,2019-03-06T19:35:53+0000,Also this week: We’re getting ready to live without plastic packaging. How hard could it be?,The New York Times,,https://www.nytimes.com/2019/03/06/climate/inslee-2020-candidates-climate.html
9,5c9d057f40d36ff0709d0635,article,None,2019-03-28T17:33:50+0000,"A British billionaire who's a major contributor to environmental causes, including fighting climate change, will fund carbon-capture research in Wyoming, the top U.S. coal-mining state.",AP,,https://www.nytimes.com/aponline/2019/03/28/us/ap-us-wyoming-carbon-capture.html
10,5c8b5f6640d36ff0709c69bd,article,Climate,2019-01-22T15:00:28+0000,"“I’ve never seen jumps in some of the key indicators like this,” the lead researcher said.",The New York Times,,https://www.nytimes.com/2019/01/22/climate/americans-global-warming-poll.html
11,5c9da7e840d36ff0709d07d8,article,None,2019-03-29T05:06:47+0000,"The ""Underwater Homeowners Association"" sounds like a sad joke about the future of real estate in flood-prone Miami.",AP,,https://www.nytimes.com/aponline/2019/03/29/us/ap-us-underwater-homeowners.html
12,5c8b5e7d40d36ff0709c68c3,article,BookReview,2019-03-05T19:00:03+0000,Philipp Blom’s “Nature’s Mutiny” looks at the impact of the 17th century’s “little ice age” on civilization.,The New York Times,Book Review,https://www.nytimes.com/2019/03/05/books/review/philipp-blom-natures-mutiny.html
13,5c8ae3eb40d36ff0708021dd,article,Letters,2019-01-27T18:00:01+0000,A reader asks what the long-term defense against flood-prone tunnels will be.,The New York Times,Letters,https://www.nytimes.com/2019/01/27/opinion/letters/subways-climate-change.html
14,5c94664140d36ff0709c9b5c,article,None,2019-03-22T04:36:17+0000,"The Missouri River floodwater surging on to the air base housing the U.S. military's Strategic Command overwhelmed round-the-clock sandbagging by airmen and others. They had to scramble to save sensitive equipment, munitions and dozens of aircraft...",AP,,https://www.nytimes.com/aponline/2019/03/22/us/ap-us-spring-flooding-national-security.html
15,5c92331140d36ff0709c902e,article,None,2019-03-20T12:33:21+0000,"Unsafe drinking water, not climate change, is the world's most immediate public health issue, Environmental Protection Agency administrator Andrew Wheeler contended Wednesday.",AP,Politics,https://www.nytimes.com/aponline/2019/03/20/us/politics/ap-us-trump-epa.html
16,5c8b4ce640d36ff0709bd327,article,Climate,2019-03-01T17:33:23+0000,Both climate advocates and deniers of global warming are increasingly using bouts of extreme weather to support their positions.,The New York Times,,https://www.nytimes.com/2019/03/01/climate/weather-climate-change.html
17,5c9a4a4940d36ff0709cfea7,article,OpEd,2019-03-26T15:50:33+0000,The money could make the country more resilient — if it doesn’t just end up causing more conflict and corruption.,The New York Times,,https://www.nytimes.com/2019/03/26/opinion/cyclone-idai-mozambique-climate-change.html
18,5c8ae35140d36ff070800298,article,SundayBusiness,2019-01-17T10:00:01+0000,"Many of the big economic questions in coming decades will come down to just how extreme the weather will be, and how to value the future versus the present. ",The New York Times,,https://www.nytimes.com/2019/01/17/upshot/how-to-think-about-the-costs-of-climate-change.html
19,5c8bb01a40d36ff0709c7718,article,Climate,2019-03-15T14:00:58+0000,Children and young adults around the world skipped school en masse Friday to demand action on climate change.,The New York Times,,https://www.nytimes.com/2019/03/15/climate/climate-school-strikes.html
